FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2021,2023
A,Annual,KHM,Cambodia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,7.716049383,14.35185185
A,Annual,KIR,Kiribati,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,7.407407407,7.407407407
A,Annual,KNA,St. Kitts and Nevis,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,1.851851852,1.851851852
A,Annual,KOR,"Korea, Rep.",ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,24.53703704,24.53703704
A,Annual,KWT,Kuwait,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,15.43209877,19.75308642
A,Annual,LAO,Lao PDR,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,7.407407407,8.333333333
A,Annual,LBN,Lebanon,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,5.555555556,6.481481481
A,Annual,LBR,Liberia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,12.80864198,13.7345679
A,Annual,LBY,Libya,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,0.925925926,0.925925926
A,Annual,LCA,St. Lucia,ITU_ICT_G5_DIG_DEV,Digital Development Score (ITU G5),0_TO_100,0-100 scale,MEAN,Mean,ITU_ICT,ICT Regulatory Tracker,0,Units,A,Normal value,PU,Public,12.96296296,12.96296296
